org_name,reported_date,breach_date,end_breach_date,incident_details,information_affected,organization_type,total_affected,Map,TYPE,CIK CODE,SIC CODE,NAICS CODE,nvd_vendor,total_cves,cves_1yr_before,cves_2yr_before,cves_5yr_before,stock_price_at_breach,return_5d_pct,return_30d_pct,has_stock_data,fcc_category,fcc_reportable,car_5d,car_30d,bhar_5d,bhar_30d,has_crsp_data,firm_size_log,roa,leverage,sales_q,assets,disclosure_delay_days,immediate_disclosure,delayed_disclosure,return_volatility_pre,return_volatility_post,volume_volatility_pre,volume_volatility_post,volatility_change,has_complete_data,large_firm,breach_severity,prior_breaches_total,prior_breaches_1yr,prior_breaches_3yr,prior_breaches_5yr,days_since_last_breach,is_repeat_offender,is_first_breach,pii_breach,health_breach,financial_breach,ip_breach,ransomware,nation_state,insider_threat,ddos_attack,phishing,malware,severity_score,records_severity,records_affected_numeric,combined_severity_score,high_severity_breach,num_breach_types,complex_breach,CIK,has_executive_change,num_8k_502,days_to_first_change,has_cio_change,has_ceo_change,breach_year,has_ftc_action,ftc_settlement_amount,ftc_case_year,has_fcc_action,fcc_fine_amount,fcc_case_year,has_state_ag_action,ag_settlement_amount,num_states_involved,ag_case_year,total_regulatory_cost,has_any_regulatory_action,in_hibp,hibp_breach_name,hibp_breach_date,hibp_pwn_count,hibp_description,hibp_data_classes,hibp_date_difference_days,hibp_date_match,has_cyber_insurance_disclosure,num_10k_filings_checked
American Electric Power,2019-04-26,2018-12-09,2018-12-09 00:00:00,"The Indiana Office of the Attorney General reported a data breach involving American Electric Power on April 26, 2019. The breach occurred on December 9, 2018, affecting a total of 4,197 individuals, with 1 resident specifically noted as affected.","{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,2,AEP,HACK,4904,4911,221122,,0,0,0,0,62.48,-0.53,-3.88,True,Non-FCC,False,1.0035,-3.0322,0.9479,-2.9428,True,10.46169421554977,0.008542179971427474,0.7168288044201641,4333.1,67617.4,138,0,1,14.7453,22.7721,615859.28,1023290.21,8.0268,False,0,Small,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,0,0,6,1,2,7,1,2,1,4904,1,8,46.0,0,0,2018,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
American Electric Power,2019-04-26,2019-02-18,2019-02-18 00:00:00,"The Montana Department of Justice reported a data breach involving American Electric Power on April 26, 2019. The breach occurred on February 18, 2019, when an unauthorized individual accessed an email account belonging to a Coates Field Service employee, potentially exposing personal information of 2 individuals.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,70000000,AEP,HACK,4904,4911,221122,,0,0,0,0,63.59,0.41,3.47,True,Non-FCC,False,0.7452,1.811,0.7366,1.8563,True,10.51502345944923,0.00528176178876441,0.7214037800787176,3801.1,68802.8,67,0,1,14.1913,9.7772,778296.57,1715548.81,-4.4141,False,1,Massive,1,1,1,1,71.0,1,0,1,0,0,0,1,0,1,0,0,0,8,5,70000000,13,1,3,1,4904,1,7,29.0,0,0,2018,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Apple,2011-06-16,2011-04-01,4/30/2011,"The New Hampshire Department of Justice reported a data breach involving Apple on June 16, 2011, potentially involving the credit card information of one New Hampshire resident accessed by a now-former employee without authorization. The breach was discovered on the same date, and Apple has terminated the individual's employment and initiated notifications to the affected resident.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Credit card information""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSR,3404,AAPL,INSD,320193,3571,334111,,0,0,0,0,10.34,-4.69,-0.95,True,Non-FCC,False,-4.3187,-3.8905,-4.2584,-3.9082,True,12.68310099373354,0.06308480148360449,0.3522190845485965,24667.0,94904.0,76,0,1,26.4212,18.4662,7300447.72,6487837.2,-7.9549,False,1,Small,0,0,0,0,,0,1,1,0,1,0,1,0,1,0,0,0,11,2,3404,13,1,4,1,320193,0,0,,0,0,2011,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Apple Inc.,2010-06-09,2010-06-01,2010-06-01 00:00:00,"Two hackers exploited a vulnerability in AT&T's network to steal email addresses of iPad users via brute force attack. This was AT&T's responsibility, not Apple's directly.",,BSO,114000,AAPL,HACK,320193,3571,334111,apple,12374,238,466,703,7.83,1.04,1.93,True,Non-FCC,False,-0.1233,-2.1104,-0.0666,-2.2493,True,12.27263003363372,0.05387594861279072,0.3103738366896261,13499.0,57057.0,8,0,0,43.3996,30.3167,10134301.85,5631836.93,-13.0829,True,1,Large,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,4,114000,4,0,0,0,320193,0,0,,0,0,2010,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Apple Inc.,2020-11-01,2020-11-01,2020-11-01 00:00:00,Security researcher discovered vulnerability that could allow hackers to steal passwords; Apple released security update.,,BSO,100000,AAPL,INSD,320193,3571,334111,apple,12374,1108,1628,4522,105.8,1.28,7.16,True,Non-FCC,False,-1.2406,2.1677,-1.4484,2.0783,True,14.49155172284586,0.03912772316356272,0.7982666847799239,64698.0,323888.0,0,1,0,43.0812,28.961,43334180.02,31029636.68,-14.1202,True,1,Medium,6,0,1,1,638.0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,100000,4,0,0,0,320193,1,8,65.0,0,0,2010,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Apple Inc.,2013-07-21,2013-07-18,2013-08-10 00:00:00,"Names, IDs, email addresses, mailing addresses",,BSO,275000,AAPL,HACK,320193,3571,334111,apple,12374,478,886,1794,13.24,2.62,18.34,True,Non-FCC,False,1.2781,16.0549,1.14,16.6758,True,12.79448274455685,0.03452485789768633,0.382785605636058,35323.0,199856.0,3,1,0,20.7229,28.2406,3504435.09,6609944.81,7.5176,True,1,Large,1,0,0,1,1143.0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,275000,4,0,0,0,320193,0,0,,0,0,2010,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Apple Inc.,2015-09-16,2015-09-18,2015-11-30 00:00:00,"Malicious version of Xcode development tool infected 4,000+ apps",,BSO,128000000,AAPL,HACK,320193,3571,334111,apple,12374,434,732,2060,25.5,0.44,-2.17,True,Non-FCC,False,4.2167,2.315,4.1507,2.1624,True,13.48087634414377,0.03908826985806386,0.5398991766458845,49605.0,273151.0,-2,1,0,43.5657,20.6127,29673910.0,12255796.11,-22.953,True,1,Massive,4,1,3,3,79.0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,128000000,5,0,0,0,320193,1,12,14.0,0,0,2010,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Apple Inc.,2015-08-25,2015-07-01,2015-11-01 00:00:00,"Login credentials, private keys, certificates, purchase receipts",,BSO,225000,AAPL,HACK,320193,3571,334111,apple,12374,434,732,2060,28.32,-6.28,-5.32,True,Non-FCC,False,-3.4662,-7.6726,-3.4159,-7.8416,True,13.48087634414377,0.03908826985806386,0.5398991766458845,49605.0,273151.0,55,0,1,14.2683,24.8179,10248262.41,20872214.16,10.5496,True,1,Large,3,1,2,2,304.0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,225000,4,0,0,0,320193,1,13,20.0,0,0,2010,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Apple Inc.,2014-08-31,2014-08-31,2014-09-01 00:00:00,Spear phishing attack compromised iCloud login credentials,,BSO,1000,AAPL,HACK,320193,3571,334111,apple,12374,298,776,1864,22.65,-2.92,-0.56,True,Non-FCC,False,-4.0214,5.4456,-4.0492,4.965,True,13.22955480577207,0.03481934208161064,0.4564982922883336,37432.0,222520.0,0,1,0,14.9363,27.2572,13587520.43,33748779.85,12.3209,True,1,Small,2,0,1,2,409.0,1,0,0,1,0,0,0,0,0,0,1,0,6,2,1000,8,1,2,1,320193,1,10,149.0,0,0,2010,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
Apple Inc.,2019-05-30,2019-02-02,2/28/2019,"On May 30, 2019, the New Hampshire Department of Justice reported a data breach involving Apple Inc. that potentially affected the personal information of one New Hampshire resident. The incident occurred on February 2, 2019, when an associate of Teleperformance AHA, a service provider to Apple, may have improperly accessed a customer's payment card information during a screen sharing session.","{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Billing/shipping address"""",""""Email address"""",""""Payment card account number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Payment card account number"""",""""Payment card expiration date"""",""""Payment card verification number (CVV2)""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,1,AAPL,INSD,320193,3571,334111,apple,12374,520,1431,3848,39.62,8.48,11.74,True,Non-FCC,False,2.6762,8.0849,2.6504,8.6541,True,13.52258693953985,0.05342249123004182,0.684543734731175,84310.0,373719.0,117,0,1,49.4867,15.9823,14818888.16,5077216.09,-33.5044,True,1,Small,5,0,0,3,1233.0,1,0,1,0,1,0,1,0,0,0,0,0,9,1,1,10,1,3,1,320193,1,9,4.0,0,0,2010,0,0,,0,0,,0,0,0,,0,0,0,,,0,,,,0,0,0
